This Union general, known as the "Young Napoleon," ranked 2nd in the Class of 1846 and was roommates with A.P. Hill.	George McClellan	person, nickname
This Union general was called the "Young Napoleon," ranked 2nd at West Point, roomed with A.P. Hill, and they later loved the same woman.	Who is George McClellan?	person, nickname, relationship
Where did George Pickett rank in his West Point class?	59th (last)	person
This Confederate general ranked dead last in the Class of 1846 and is remembered for the doomed frontal assault on the third day of Gettysburg.	George Pickett	person
This Confederate general graduated last in the West Point Class of 1846 and led the famous charge on July 3, 1863.	Who is George Pickett?	person
Where did James Longstreet rank in his West Point class?	54th	person, relationship
This Confederate general ranked 54th in the Class of 1842 and was best man at Grant's wedding.	James Longstreet	person, relationship
This Confederate general was Lee's wingman, Grant's friend, best man at Grant's wedding, and ranked 54th at West Point.	Who is James Longstreet?	person, relationship
Which Confederate figure graduated from West Point in 1828?	Jefferson Davis	class-year, person
This Confederate president graduated from the Class of 1828 and famously feuded with Joseph E. Johnston.	Jefferson Davis	person
This Confederate president graduated from West Point in 1828 and feuded with one of his own generals, Joseph E. Johnston.	Who is Jefferson Davis?	person
How long was P.G.T. Beauregard's tenure as West Point superintendent?	5 days	person, trick-clue
This Confederate general fired the first shot at Fort Sumter and lasted only 5 days as West Point superintendent before being fired.	P.G.T. Beauregard	person, trick-clue
This Confederate general fired on Fort Sumter and served only 5 days as West Point superintendent before being removed.	Who is P.G.T. Beauregard?	person, trick-clue
How many future generals did the West Point Class of 1846 produce?	22 (12 Union, 10 Confederate)	count, class-year
This West Point class produced 22 future generals — 12 for the Union and 10 for the Confederacy, more than any other.	Class of 1846	count, class-year
More than any other West Point class, this one produced 22 future generals in the Civil War.	What is the Class of 1846?	count, class-year
How many demerits did Robert E. Lee receive in four years at West Point?	0	count, trick-clue
This number represents the demerits Robert E. Lee received during his entire West Point career — a perfect record.	Zero	count, trick-clue
This is the number of demerits Robert E. Lee received at West Point, a record no other cadet matched.	What is zero?	count, trick-clue
How long did P.G.T. Beauregard serve as West Point superintendent?	5 days	count, trick-clue
This is how many days P.G.T. Beauregard lasted as West Point superintendent before being fired.	5 days	count, trick-clue
This is the length of Beauregard's tenure as West Point superintendent, one of the shortest in the academy's history.	What is 5 days?	count, trick-clue
Approximately how many casualties were suffered at the Battle of Antietam?	~23,000	count
This is the approximate number of casualties at the single bloodiest day of the Civil War.	~23,000	count
This is the approximate number of casualties at Antietam, the bloodiest single day in American military history.	What is approximately 23,000?	count
Approximately how many West Point graduates became generals in the Civil War?	~300 (roughly 150 each side)	count
This is the approximate number of West Pointers who served as generals during the Civil War, split roughly evenly.	~300	count
This is the approximate number of West Point graduates who became generals in the Civil War, divided about equally between North and South.	What is approximately 300?	count
What was the relationship between Beauregard and Anderson before the Civil War?	Anderson was Beauregard's artillery instructor at West Point	relationship
This Confederate general fired on his former West Point instructor at Fort Sumter.	P.G.T. Beauregard fired on Robert Anderson	relationship
This Confederate general fired on his own West Point artillery instructor at Fort Sumter, beginning the war.	Who is P.G.T. Beauregard?	relationship
Who were West Point roommates who fought on opposite sides and shared a love triangle with Ellen Marcy?	McClellan and A.P. Hill	relationship
This Union general and Confederate general were roommates at West Point who both proposed to Ellen Marcy and later clashed at Antietam.	George McClellan and A.P. Hill	relationship
These two generals were West Point roommates, rivals for the same woman, and faced each other at Antietam.	Who are George McClellan and A.P. Hill?	relationship
Who were best friends who fought on opposite sides at Gettysburg?	Lewis Armistead and Winfield Scott Hancock	relationship
These two best friends from West Point faced each other at Gettysburg, where Armistead was mortally wounded after reaching the Union lines.	Lewis Armistead and Winfield Scott Hancock	relationship
This Confederate brigadier led his men toward the Union center at Gettysburg, heading directly toward his own best friend's position.	Who is Lewis Armistead?	relationship
How many times had Grant and Lee met before the Appomattox surrender?	Twice (once in the Mexican-American War and once at Appomattox)	relationship, trick-clue
These two commanders met only twice in their lives — at Appomattox and once during the Mexican-American War.	Ulysses S. Grant and Robert E. Lee	relationship, trick-clue
At their second-ever meeting, this Union general accepted the surrender of his Confederate counterpart.	Who is Ulysses S. Grant?	relationship
Who served as best man at each other's weddings?	Grant and Longstreet	relationship
This Confederate general was best man at Grant's wedding; Grant later returned the favor at Longstreet's wedding.	James Longstreet	relationship
Best man at Grant's wedding and later his adversary on the battlefield, this Confederate general remained a lifelong friend.	Who is James Longstreet?	relationship
Whom did George Armstrong Custer save from drowning at West Point?	Thomas Rosser (his future Confederate adversary)	relationship
This Confederate cavalry commander was saved from drowning at West Point by his future Union adversary, George Custer.	Thomas Rosser	relationship
This Union cavalry commander saved a fellow cadet from drowning at West Point, only to face him across the battlefield years later.	Who is George Armstrong Custer?	relationship
